Show,EpId,lectura,lectura_n,score,margen,rank_asignado,coincide_argmax,n_palabras_asr,duracion,fecha
ATMA,2020-05-27_03_54_34,Lectura 5,5,0.9717,0.823,1,True,230,93.2,2020-05-27
ATMA,2020-05-27_03_55_03,Lectura 6,6,0.8913,0.6949,1,True,257,124.1,2020-05-27
ATMA,2020-05-27_03_55_25,Lectura 7,7,0.88,0.6623,1,True,314,122.1,2020-05-27
ATMA,2020-05-27_03_55_51,Lectura 8,8,0.946,0.8129,1,True,252,117.1,2020-05-27
ATMA,2020-05-27_03_56_16,Lectura 9,9,0.9322,0.7937,1,True,304,136.3,2020-05-27
ATMA,2020-05-27_06_06_55,Lectura 10,10,0.9496,0.8226,1,True,264,121.7,2020-05-27
ATMA,2020-05-27_10_23_37,Lectura 1,1,0.9116,0.6965,1,True,262,114.6,2020-05-27
ATMA,2020-05-27_10_23_55,Lectura 2,2,0.9074,0.7585,1,True,301,137.2,2020-05-27
ATMA,2020-05-27_10_24_13,Lectura 3,3,0.9715,0.7915,1,True,200,80.6,2020-05-27
ATMA,2020-05-27_10_24_30,Lectura 4,4,0.9739,0.8433,1,True,387,160.4,2020-05-27
ATMA,2020-05-28_05_36_59,Lectura 16,16,0.9607,0.6402,1,True,373,155.0,2020-05-28
ATMA,2020-05-28_05_38_09,Lectura 17,17,0.9493,0.7829,1,True,297,138.2,2020-05-28
ATMA,2020-05-28_05_38_22,Lectura 18,18,0.9431,0.7994,1,True,291,150.9,2020-05-28
ATMA,2020-05-28_05_38_39,Lectura 19,19,0.9568,0.6088,1,True,302,166.6,2020-05-28
ATMA,2020-05-28_05_38_45,Lectura 20,20,0.9169,0.7832,1,True,200,104.0,2020-05-28
ATMA,2020-05-28_12_36_10,Lectura 11,11,0.9268,0.7598,1,True,306,150.3,2020-05-28
ATMA,2020-05-28_12_36_42,Lectura 12,12,0.9544,0.651,1,True,264,113.0,2020-05-28
ATMA,2020-05-28_12_36_58,Lectura 13,13,0.9456,0.7943,1,True,280,110.9,2020-05-28
ATMA,2020-05-28_12_37_14,Lectura 14,14,0.9462,0.7852,1,True,310,139.7,2020-05-28
ATMA,2020-05-28_12_37_24,Lectura 15,15,0.9294,0.7902,1,True,275,112.7,2020-05-28
ATMA,2020-05-29_03_49_57,Lectura 21,21,0.9542,0.6959,1,True,261,124.6,2020-05-29
ATMA,2020-05-29_03_50_21,Lectura 22,22,0.9664,0.8052,1,True,308,162.5,2020-05-29
ATMA,2020-05-29_03_50_43,Lectura 23,23,0.9439,0.7948,1,True,267,149.8,2020-05-29
ATMA,2020-05-29_03_51_02,Lectura 24,24,0.9692,0.8703,1,True,271,137.9,2020-05-29
ATMA,2020-05-29_03_51_19,Lectura 25,25,0.9411,0.6005,1,True,353,186.0,2020-05-29
ATMA,2020-05-29_03_51_35,Lectura 26,26,0.9046,0.754,1,True,340,183.2,2020-05-29
ATMA,2020-05-29_03_51_53,Lectura 27,27,0.9458,0.8008,1,True,342,172.0,2020-05-29
