iter,Show,EpId,ini,fin,n_palabras,texto
1,ATMA,2020-05-27_03_55_25,46.7,50.36,4,¿Horario de los recorridos?
1,ATMA,2020-05-29_03_51_02,39.9,46.74,12,más. Invoco a los ciudadanos de Arequipa e Islay a dialogar más.
1,ATMA,2020-06-01_08_20_07,74.16,79.66,10,para detectar las unidades que superen el límite de velocidad.
1,LPJM,2020-05-27_09_40_28,4.1,7.22,3,Lectura número 9
1,LPJM,2020-05-28_06_18_10,6.12,31.66,16,12. Mujer queda herida tras recibir balazo en frustrado asalto a bodega en Puente Piedra. El
1,LPJM,2020-05-28_06_18_10,6.12,31.66,15,propietario de la bodega y su hijo forcejearon con los delincuentes pero estos finalmente lograron
1,LPJM,2020-05-28_06_18_10,6.12,31.66,14,escapar tras herir de un balazo en la pierna a la esposa del dueño.
1,LPJM,2020-06-02_09_16_20,84.66,88.16,1,Contagio
1,LPJM,2020-06-03_09_35_06,141.0,145.74,10,Se deberá garantizar la continuidad de los servicios públicos indispensables.
1,PVM,2020-05-27_01_01_37,32.06,36.1,2,La abogada.
1,PVM,2020-05-27_05_24_23,22.62,28.82,1,Gracias.
1,PVM,2020-05-27_05_24_23,41.9,45.92,1,pero...
1,PVM,2020-05-27_05_24_23,41.9,45.92,3,¿Hemos convertido algo?
1,PVM,2020-05-27_10_00_18,0.0,3.54,5,"No, no, no, no, no"
1,PVM,2020-05-27_10_00_18,171.98,177.12,1,Drón.
1,PVM,2020-05-27_10_00_18,195.04,208.12,1,anotó
1,PVM,2020-05-27_10_31_54,61.66,64.94,1,online
1,PVM,2020-05-27_10_42_18,26.14,32.68,4,"No, no, no, no."
1,PVM,2020-05-27_10_42_18,117.3,122.92,1,¡Nanana!
1,PVM,2020-05-27_10_42_18,127.28,130.48,9,"A, A, A, A, A, A, A, A, A"
1,PVM,2020-05-28_12_12_58,2.36,6.38,1,Vale.
1,PVM,2020-05-28_12_12_58,124.54,127.72,8,Y-y-y-y-y-y-y-y
1,PVM,2020-05-29_04_50_37,0.0,3.02,1,Interceptan...
1,PVM,2020-05-29_06_19_11,64.6,68.6,1,¡Gracias!
1,PVM,2020-05-29_10_13_11,0.0,3.76,5,"Mmm, mmm, mmm, mmm, mmm."
1,PVM,2020-05-29_12_31_55,66.4,72.04,5,"No, no, no, no, no."
1,PVM,2020-05-29_12_31_55,92.02,95.44,3,en la tarde.
1,PVM,2020-05-30_07_44_45,50.56,59.72,1,Al...
1,PVM,2020-05-30_07_44_45,50.56,59.72,1,Al...
1,PVM,2020-05-30_07_44_45,149.62,172.32,18,Otro 47% saldrá de la ciudad para divertirse y el 9% por motivos religiosos y peregrinación.
1,PVM,2020-05-30_07_44_45,149.62,172.32,20,"También se ha estimado que el 45% viajará en un grupo familiar directo, padres e hijos 22 viajarán solos."
1,PVM,2020-05-30_07_44_45,149.62,172.32,3,10% real
1,PVM,2020-06-01_12_46_58,21.78,25.72,1,nacional
1,PVM,2020-06-01_12_46_58,40.12,44.8,5,para asignar 4.099 casos.
1,PVM,2020-06-01_12_46_58,87.98,93.04,1,¿Verdad?
1,PVM,2020-06-02_05_25_20,171.12,175.32,2,Lynch Solía
1,PVM,2020-06-02_05_25_20,171.12,175.32,1,No
1,PVM,2020-06-02_08_40_11,164.74,170.02,1,Bordas
1,PVM,2020-06-02_10_24_16,78.98,85.36,5,"Alicia Lima, General Mario Asata."
1,PVM,2020-06-02_11_48_10,0.0,4.62,9,Hei hei hei hei hei hei hei hei hei.
1,PVM,2020-06-02_11_51_06,30.54,37.04,1,vale
1,PVM,2020-06-03_11_08_23,116.0,128.52,1,día
1,PVM,2020-06-04_08_23_21,50.46,54.46,1,casas.
1,PVM,2020-06-04_08_23_21,50.46,54.46,1,La...
1,PVM,2020-06-04_08_23_21,50.46,54.46,1,A...
1,PVM,2020-06-04_08_23_21,50.46,54.46,1,A...
1,PVM,2020-06-04_08_23_21,50.46,54.46,1,A...
1,PVM,2020-06-04_08_23_21,70.46,73.86,1,039
1,PVM,2020-06-04_08_23_21,117.26,120.5,3,Desde el ma...
1,PVM,2020-06-04_08_58_07,29.04,33.0,1,Rion.
1,PVM,2020-06-05_05_17_08,6.74,10.32,1,Próximamente
1,PVM,2020-06-05_05_22_12,82.26,85.52,2,Familiares y
1,PVM,2020-06-05_06_35_35,169.66,173.34,1,listo
1,PVM,2020-06-05_06_54_24,153.82,157.9,6,188 contra el periodista Hugo Bustias.
1,PVM,2020-06-06_04_36_38,0.0,3.48,1,¡Gracias!
1,PVM,2020-06-06_04_36_38,95.24,98.84,2,la policía.
1,PVM,2020-06-06_07_40_48,118.46,122.82,3,voy a ver
1,RRYR,2020-05-27_05_10_14,3.6,30.0,11,"3. Sismo de magnitud 4 se reportó en Piura, señala IGP."
1,RRYR,2020-05-27_05_10_14,3.6,30.0,25,Las autoridades locales del Instituto Nacional de Defensa Civil aún no han reportado daños personales ni materiales a causa del sismo que ocurrió esta madrugada.
1,RRYR,2020-05-27_05_10_14,3.6,30.0,9,Un sismo de magnitud 4 se registró a la...
1,RRYR,2020-05-27_05_10_14,85.3,89.46,3,además aquí sí
1,RRYR,2020-05-27_05_19_09,3.36,30.0,28,5. Motocicletas anuncia marcha nacional. Saldrán a las calles a protestar contra el proyecto de ley que prohíbe el desplazamiento de estos vehículos con dos o más ocupantes.
1,RRYR,2020-05-27_05_19_09,3.36,30.0,16,La Asociación de Motivistas del Perú anunció una marcha nacional para este jueves 11 de julio.
1,RRYR,2020-05-27_05_19_09,3.36,30.0,17,Esto luego de que la Comisión de Defensa Nacional y Orden de la Comisión de Defensa Nacional
1,RRYR,2020-05-27_05_22_19,3.6,7.7,1,6
1,RRYR,2020-05-27_05_28_46,3.78,30.4,28,"7. Conozco los nuevos horarios del Metropolitano, los corredores complementarios y el tren eléctrico. Servicios extenderán sus horarios ante cambio del toque de queda hasta las 9 pm."
1,RRYR,2020-05-27_05_28_46,3.78,30.4,11,"Ante la ampliación del estado de emergencia, la municipalidad del IMAE..."
1,RRYR,2020-05-27_05_40_15,2.9,6.58,1,9
1,RRYR,2020-05-28_06_39_57,5.1,30.0,11,Apurímac contará con laboratorio para analizar pruebas moleculares de COVID-19.
1,RRYR,2020-05-28_06_39_57,5.1,30.0,19,"El gobernador Baltasar Lantarón dispuso la adquisición de los equipos, que mandarán una inversión de un millón de soles."
1,RRYR,2020-05-28_06_39_57,5.1,30.0,6,"El gobernador de Apurímac, Baltasar Lantarón,"
1,RRYR,2020-05-28_06_50_06,2.54,30.0,18,13. Joven de 16 años estaría involucrada en asesinatos de mujer en bodega en San Juan de Miraflores.
1,RRYR,2020-05-28_06_50_06,2.54,30.0,25,"Según PNP, la policía estableció que por declaraciones de los testigos y videos de la zona, una adolescente y su enamorado habrían participado del crimen."
1,RRYR,2020-05-28_06_50_06,2.54,30.0,9,Una menor de 16 años y su pareja estaría...
1,RRYR,2020-05-28_06_59_38,3.98,30.0,48,"15. Dice, balean a una prestamista dentro de una bodega en Villa El Salvador. Video. La agraviada fue interceptada por un sujeto que le arrebató su canguro. Ella se percató que el hombre era familiar de una de sus clientas que le debe más de 15.000 soles."
1,RRYR,2020-05-28_06_59_38,3.98,30.0,5,El presamista Janet Arce Rock
1,RRYR,2020-05-29_10_02_27,105.88,109.72,7,rata nos levantemos 3 de la noche
1,RRYR,2020-05-29_10_03_20,111.26,116.1,7,las según la acusión a cosi según
1,RRYR,2020-05-29_10_05_20,16.88,20.88,3,dice y interceptan
1,RRYR,2020-05-30_10_15_41,35.8,40.44,1,¡Gracias!
1,RRYR,2020-05-30_10_17_48,45.06,48.26,1,Diecinueve.
1,RRYR,2020-05-30_10_18_04,2.98,7.14,3,Y dime conmigo
1,RRYR,2020-06-01_10_23_55,4.12,8.02,1,45
1,RRYR,2020-06-01_10_24_24,6.62,11.36,3,"Dice así, 44."
1,RRYR,2020-06-03_09_17_04,1.36,5.02,3,y eso sí
1,RRYR,2020-06-03_09_17_11,3.6,7.28,2,Dice así.
1,RRYR,2020-06-03_09_17_32,0.86,7.02,4,y se dice así
1,RRYR,2020-06-03_09_17_32,0.86,7.02,3,65 está acá
1,RRYR,2020-06-04_08_52_14,134.06,137.4,2,Otra planta
1,RRYR,2020-06-04_09_04_14,0.0,7.1,5,74 está acá desde así
1,RRYR,2020-06-04_09_05_13,1.08,5.74,3,Y dice así.
1,RRYR,2020-06-05_10_08_28,2.04,6.18,1,88
1,RRYR,2020-06-05_10_09_26,6.96,12.8,2,Ya si
1,RRYR,2020-06-05_10_09_26,6.96,12.8,8,"acá está, acá está, acá está, acá está"
1,RRYR,2020-06-06_09_48_59,1.82,6.72,1,94
1,RRYR,2020-06-06_09_48_59,1.82,6.72,2,Y así
1,RRYR,2020-06-06_09_48_59,18.78,22.68,1,3
1,RRYR,2020-06-06_09_48_59,94.46,98.3,1,jajajajaja
1,RRYR,2020-06-06_09_49_06,1.58,10.42,3,Y es así
1,RRYR,2020-06-06_09_49_06,1.58,10.42,1,Salvador
1,RRYR,2020-06-06_09_49_06,173.94,178.1,1,Esto.
1,SSF,2020-05-28_02_37_17,3.34,30.32,14,6. Mercedes Arauz renuncia a la vicepresidencia de la república y pide elecciones generales.
1,SSF,2020-05-28_02_37_17,3.34,30.32,26,"Espero que mi renuncia conduzca a la convocatoria de elecciones generales en el más breve plazo, por el bien del país, dijo en sus redes sociales."
1,SSF,2020-05-28_02_37_17,3.34,30.32,24,"Un día después de haber asumido como presidente encargada del Perú, Mercedes Arauz a través de las redes sociales anunció que renunció y rebusó."
1,SSF,2020-05-28_06_13_37,0.0,3.48,3,Lectura número 10
1,SSF,2020-05-28_06_14_03,138.36,146.2,2,que huyan
1,SSF,2020-05-28_06_14_03,138.36,146.2,1,que
1,SSF,2020-05-28_06_14_03,138.36,146.2,2,qui abamba
1,SSF,2020-05-28_06_14_03,138.36,146.2,2,Paco Bamba
1,SSF,2020-05-29_05_14_52,3.24,30.0,2,Roque Benavides
1,SSF,2020-05-29_05_14_52,3.24,30.0,8,Tía María es un proyecto minero perfectamente factible
1,SSF,2020-05-29_05_14_52,3.24,30.0,5,Sobre el abastecimiento del agua
1,SSF,2020-05-29_05_14_52,3.24,30.0,4,Para este proyecto crucifífero
1,SSF,2020-05-29_05_14_52,3.24,30.0,12,Dijo que la mejor opción es la construcción del reservorio del Paltiture
1,SSF,2020-05-29_05_14_52,3.24,30.0,7,En las alturas entre Puno y Moquegua
1,SSF,2020-05-29_05_14_52,3.24,30.0,2,El expresidente
1,SSF,2020-05-29_05_14_52,3.24,30.0,1,Gracias.
1,SSF,2020-05-29_05_14_52,46.32,51.24,12,"más. Invocó a los ciudadanos de Islay, ahí Arequipa, a dialogar más."
1,SSF,2020-05-29_11_04_41,0.0,3.26,3,Lectura número 14
1,SSF,2020-05-29_11_04_47,25.64,29.32,1,nuevas
1,SSF,2020-05-29_11_04_47,25.64,29.32,2,la super
1,SSF,2020-05-29_11_04_47,25.64,29.32,1,super
1,SSF,2020-05-30_06_49_26,145.78,153.32,1,Regresaron
1,SSF,2020-05-30_06_49_26,145.78,153.32,2,El super
1,SSF,2020-05-30_06_49_26,145.78,153.32,1,Inten...
1,SSF,2020-06-01_04_55_55,79.66,83.16,2,Utilizarán cine.
1,SSF,2020-06-01_04_55_55,115.78,144.26,14,"obras. Al ser consultado sobre los trabajos inconclusos de la Costa Verde, tales como"
1,SSF,2020-06-01_04_55_55,115.78,144.26,13,"los puentes peatonales, el alcalde anunció que antes de las fiestas navideñas, todas"
1,SSF,2020-06-01_04_55_55,115.78,144.26,12,las obras están absolutamente terminadas para que los ciudadanos disfruten de las
1,SSF,2020-06-01_04_55_55,115.78,144.26,18,"playas. Sabías que en el primer día de marcha blanca en la Costa Verde, en San Inciro, hubo"
1,SSF,2020-06-01_04_55_55,115.78,144.26,16,un accidente. Un auto se volcó y quedó llantas arriba al perecer por exceso de velocidad.
1,SSF,2020-06-01_04_55_55,115.78,144.26,9,La Municipalidad de Lima paralizó una construcción de la...
1,SSF,2020-06-01_07_05_36,3.36,30.0,19,48. Vizcarra sobre el coronavirus. Esta pandemia de COVID-19 no se supera en 15 días o un mes.
1,SSF,2020-06-01_07_05_36,3.36,30.0,17,Toma 6 u 8 meses. El presidente de la República pidió compromiso a la ciudadanía en respetar
1,SSF,2020-06-01_07_05_36,3.36,30.0,16,las medidas de bioseguridad a fin de evitar más contagios y muertes por COVID-19. El
1,SSF,2020-06-01_07_05_36,3.36,30.0,15,"presidente de la República, Martín Vizcarra, en el día 76 del estado de emergencia, medía"
1,SSF,2020-06-02_10_30_45,81.92,108.36,25,"Si bien la noticia ha generado satisfacción entre los vecinos del citado distrito, la pregunta es qué ocurrirá en otras jurisdicciones con altos índices delincuenciales."
1,SSF,2020-06-02_10_30_45,81.92,108.36,17,"Al respecto, el ex viceministro del Interior Ricardo Valdés señaló, me parece bien que puedan generarse una..."
1,SSF,2020-06-03_02_51_34,3.3,30.0,12,Se inicia la restauración de 100 esculturas del Centro Histórico de Lima
1,SSF,2020-06-03_02_51_34,3.3,30.0,9,Forman parte del patrimonio cultural en el Centro Histórico
1,SSF,2020-06-03_02_51_34,3.3,30.0,15,"Además, se alista una tabla de sanciones para quienes afecten los bienes con valor histórico"
1,SSF,2020-06-03_02_51_34,3.3,30.0,10,Un total de 100 esculturas del Centro Histórico de Lima
1,SSF,2020-06-03_02_51_34,3.3,30.0,4,que han sido reclamados
1,SSF,2020-06-03_10_48_45,48.8,76.32,14,"carta. El viernes 27 de septiembre, una misiva dirigida al presidente del Poder Judicial,"
1,SSF,2020-06-03_10_48_45,48.8,76.32,15,"José Luis Lecaros, acusaba a Díaz de cometer delitos de patrocinio ilegal en agravio del"
1,SSF,2020-06-03_10_48_45,48.8,76.32,16,"Estado. Él le había dispuesto, el 4 de octubre de 2018, el ingreso de Cristina Elena"
1,SSF,2020-06-03_10_48_45,48.8,76.32,12,Yesquez al área de control de asistencia. Aquello no tendría mayor relevancia.
1,SSF,2020-06-04_04_14_24,3.26,29.78,44,"26. Vuelos comerciales al exterior del país se permitirán desde julio. Estima el titular del Ministerio de Transportes y Comunicaciones. Este reinicio no sería total y dependerá de las condiciones sanitarias de cada región, así como de los protocolos sanitarios que apliquen las aerolíneas."
1,SSF,2020-06-04_04_14_24,3.26,29.78,20,"El retorno de las aerolíneas a los cielos peruanos tendría fecha pactada. Según el Ministerio de Transportes y Comunicaciones, Carlos."
1,SSF,2020-06-05_03_17_08,4.7,7.86,3,"Perú, 76 mil."
1,SSF,2020-06-05_06_00_57,101.8,105.78,6,la hora. Especificó durante la operación.
1,SSF,2020-06-05_10_44_24,3.66,30.0,32,"Sea precavido. Mañana habrá ocho eventos masivos en Lima, además de la Copa Libertadores, que habrá conciertos en rock y de salsa, una marcha contra la violencia de la mujer y otros."
1,SSF,2020-06-05_10_44_24,3.66,30.0,30,"Tomar precauciones. La Capitana mañana sábado no solo será escenario del final de la Copa Libertadores en el Sábado Monumental, sino también están programadas conciertos, una marcha contra la mujer."
1,SSF,2020-06-06_05_28_59,103.96,107.52,3,un agente policial
2,PVM,2020-05-27_01_01_37,32.06,36.1,2,La abogada.
2,PVM,2020-05-27_05_24_23,22.9,28.82,2,Unas cosas.
2,PVM,2020-05-27_10_00_18,172.04,177.12,5,"¡Eh, eh, eh, eh, eh!"
2,PVM,2020-05-27_10_42_18,117.3,121.7,7,"¡Hum, hum, hum, hum, hum, hum, hum!"
2,PVM,2020-05-28_12_12_58,2.36,6.38,1,Vale.
2,PVM,2020-05-29_06_19_11,65.32,68.6,12,¿Quién es el rey? ¿Quién es el rey? ¿Quién es el rey?
2,PVM,2020-05-29_12_31_55,92.0,95.44,1,Tari.
2,PVM,2020-06-01_12_46_58,22.16,25.72,1,¡Gracias!
2,PVM,2020-06-01_12_46_58,87.96,93.04,1,Marzo.
2,PVM,2020-06-03_11_08_23,116.0,128.52,1,día
2,PVM,2020-06-04_08_23_21,70.8,73.86,1,79
2,PVM,2020-06-04_08_58_07,29.04,33.0,1,Rion.
2,PVM,2020-06-05_06_35_35,169.86,173.34,3,"No, no, no."
2,PVM,2020-06-06_07_40_48,118.44,122.82,2,oí de...
2,RRYR,2020-05-27_05_22_19,3.74,7.7,1,¡Suscríbete!
2,RRYR,2020-06-03_09_17_11,3.6,7.28,2,Dice así.
2,RRYR,2020-06-06_09_49_06,4.64,8.94,1,así.
2,RRYR,2020-06-06_09_49_06,173.86,178.1,1,Festo
3,PVM,2020-05-27_01_01_37,32.06,36.1,2,La abogada.
3,PVM,2020-05-28_12_12_58,2.36,6.38,1,Vale.
3,PVM,2020-05-29_12_31_55,92.0,95.44,1,Tari.
3,PVM,2020-06-01_12_46_58,87.96,93.04,1,Marzo.
3,PVM,2020-06-03_11_08_23,116.0,128.52,1,día
3,PVM,2020-06-04_08_58_07,29.04,33.0,1,Rion.
3,PVM,2020-06-06_07_40_48,118.44,122.82,2,oí de...
3,RRYR,2020-06-03_09_17_11,3.6,7.28,2,Dice así.
3,RRYR,2020-06-06_09_49_06,4.64,8.94,1,así.
3,RRYR,2020-06-06_09_49_06,173.86,178.1,1,Festo
