Show,EpId,lectura,sent_idx,clip_name,start_sample,stop_sample,start_s,stop_s,dur_s,n_palabras_ref,n_palabras_asr,anclaje,precision,pal_por_seg,texto_ref,texto_asr
ATMA,2020-05-27_03_54_34,Lectura 5,0,ATMA_2020-05-27_03_54_34_s000.wav,0,33960,0.0,2.123,2.123,4,5,1.0,1.0,2.36,Motociclistas anuncian marcha nacional,los motociclistas anuncian marcha nacional
ATMA,2020-05-27_03_54_34,Lectura 5,1,ATMA_2020-05-27_03_54_34_s001.wav,33960,154460,2.123,9.654,7.531,23,23,1.0,1.0,3.05,Saldrán a las calles a protestar contra el proyecto de ley que prohíbe el desplazamiento de estos vehículos con dos o más ocupantes.,saldran a las calles a protestar contra el proyecto de ley que prohibe el desplazamiento de estos vehiculos con dos o mas ocupantes
ATMA,2020-05-27_03_54_34,Lectura 5,2,ATMA_2020-05-27_03_54_34_s002.wav,154460,251019,9.654,15.689,6.035,16,16,1.0,1.0,2.65,La Asociación de Motociclistas del Perú anunció una marcha nacional para este jueves 11 de julio.,la asociacion de motociclistas del peru anuncio una marcha nacional para este jueves 11 de julio
ATMA,2020-05-27_03_54_34,Lectura 5,3,ATMA_2020-05-27_03_54_34_s003.wav,251019,426180,15.689,26.636,10.948,34,34,1.0,1.0,3.11,Esto luego de que la Comisión de Defensa Nacional y Orden Interno del Congreso de la República aprobara el proyecto de ley que prohíbe el desplazamiento de una motocicleta con dos o más ocupantes.,esto luego de que la comision de defensa nacional y orden interno del congreso de la republica aprobara el proyecto de ley que prohibe el desplazamiento de una motocicleta con dos o mas ocupantes
ATMA,2020-05-27_03_54_34,Lectura 5,4,ATMA_2020-05-27_03_54_34_s004.wav,426180,628840,26.636,39.303,12.666,32,31,0.938,0.968,2.45,"El proyecto de ley, que es impulsado por el congresista Clayton Galván de Cambio 21, también obliga a los conductores a usar casco con el número de la placa de la moto.",el proyecto de ley es impulsado por el congresista clayton galvan de cambio 21 tambien obliga a los conductores a usar cascos con el numero de la placa en la moto
ATMA,2020-05-27_03_54_34,Lectura 5,5,ATMA_2020-05-27_03_54_34_s005.wav,628840,802360,39.303,50.148,10.845,19,19,1.0,1.0,1.75,"Según el parlamentario, “la medida se justifica por la gran cantidad de delitos que se cometen con estos vehículos”.",segun el parlamentario la medida se justifica por la gran cantidad de delitos que se cometen con estos vehiculos
ATMA,2020-05-27_03_54_34,Lectura 5,6,ATMA_2020-05-27_03_54_34_s006.wav,802360,938520,50.148,58.657,8.51,16,16,1.0,1.0,1.88,"José Luis Huamán, presidente del gremio de motociclistas, calificó esta propuesta legislativa como absurda y discriminatoria.",jose luis guaman presidente del gremio de motociclistas califico esta propuesta legislativa como absurda y discriminatoria
ATMA,2020-05-27_03_54_34,Lectura 5,7,ATMA_2020-05-27_03_54_34_s007.wav,938520,1094860,58.657,68.429,9.771,22,22,1.0,1.0,2.25,“Mostramos nuestro total rechazo sobre esta medida que es discriminatoria porque solo se toma el tema del motociclista y no en general.,mostramos nuestro total rechazo sobre esta medida que es discriminatoria porque solo se toma el tema del motociclista y no en general
ATMA,2020-05-27_03_54_34,Lectura 5,8,ATMA_2020-05-27_03_54_34_s008.wav,1094860,1137460,68.429,71.091,2.663,10,10,1.0,1.0,3.76,Esto no va a solucionar el tema de la inseguridad.,esto no va a solucionar el tema de la inseguridad
ATMA,2020-05-27_03_54_34,Lectura 5,9,ATMA_2020-05-27_03_54_34_s009.wav,1137460,1278980,71.091,79.936,8.845,19,19,1.0,1.0,2.15,"Estamos estudiando una posible denuncia contra algunos congresistas por discriminación a los motociclistas”, declaró José Huamán a Perú21.",estamos estudiando una posible denuncia contra algunos congresistas por discriminacion a los motociclistas declaro jose huaman a peru 21
