Show,lectura,sent_idx,oracion,n_clips_3s,clips_3s,Prolongation,Block,SoundRep,WordRep,Interjection,NoStutteredWords,Unsure,PoorAudioQuality,DifficultToUnderstand,NaturalPause,Music,NoSpeech,cobertura,clip_oracion,EpId,start_s,stop_s,dur_s
ATMA,Lectura 5,0,Motociclistas anuncian marcha nacional,0,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,ATMA_2020-05-27_03_54_34_s000.wav,2020-05-27_03_54_34,0.0,2.123,2.123
ATMA,Lectura 5,1,Saldrán a las calles a protestar contra el proyecto de ley que prohíbe el desplazamiento de estos vehículos con dos o más ocupantes.,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0.398,ATMA_2020-05-27_03_54_34_s001.wav,2020-05-27_03_54_34,2.123,9.654,7.531
ATMA,Lectura 5,2,La Asociación de Motociclistas del Perú anunció una marcha nacional para este jueves 11 de julio.,0,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,ATMA_2020-05-27_03_54_34_s002.wav,2020-05-27_03_54_34,9.654,15.689,6.035
ATMA,Lectura 5,3,Esto luego de que la Comisión de Defensa Nacional y Orden Interno del Congreso de la República aprobara el proyecto de ley que prohíbe el desplazamiento de una motocicleta con dos o más ocupantes.,1,4,0,0,0,0,0,1,0,0,0,0,0,0,0.274,ATMA_2020-05-27_03_54_34_s003.wav,2020-05-27_03_54_34,15.689,26.636,10.948
ATMA,Lectura 5,4,"El proyecto de ley, que es impulsado por el congresista Clayton Galván de Cambio 21, también obliga a los conductores a usar casco con el número de la placa de la moto.",2,"7,10",0,0,1,0,0,1,0,0,0,0,0,0,0.474,ATMA_2020-05-27_03_54_34_s004.wav,2020-05-27_03_54_34,26.636,39.303,12.666
ATMA,Lectura 5,5,"Según el parlamentario, “la medida se justifica por la gran cantidad de delitos que se cometen con estos vehículos”.",1,14,0,0,0,0,0,1,0,0,0,0,0,0,0.277,ATMA_2020-05-27_03_54_34_s005.wav,2020-05-27_03_54_34,39.303,50.148,10.845
ATMA,Lectura 5,6,"José Luis Huamán, presidente del gremio de motociclistas, calificó esta propuesta legislativa como absurda y discriminatoria.",2,"18,19",0,0,0,0,0,2,0,0,0,0,0,0,0.563,ATMA_2020-05-27_03_54_34_s006.wav,2020-05-27_03_54_34,50.148,58.657,8.51
ATMA,Lectura 5,7,“Mostramos nuestro total rechazo sobre esta medida que es discriminatoria porque solo se toma el tema del motociclista y no en general.,2,"20,22",0,0,0,0,0,1,1,0,0,0,0,0,0.672,ATMA_2020-05-27_03_54_34_s007.wav,2020-05-27_03_54_34,58.657,68.429,9.771
ATMA,Lectura 5,8,Esto no va a solucionar el tema de la inseguridad.,0,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,ATMA_2020-05-27_03_54_34_s008.wav,2020-05-27_03_54_34,68.429,71.091,2.663
ATMA,Lectura 5,9,"Estamos estudiando una posible denuncia contra algunos congresistas por discriminación a los motociclistas”, declaró José Huamán a Perú21.",2,"25,26",0,0,0,0,0,2,0,0,0,0,0,0,0.743,ATMA_2020-05-27_03_54_34_s009.wav,2020-05-27_03_54_34,71.091,79.936,8.845
ATMA,Lectura 5,10,"La marcha se llevará a cabo desde las 7:00 p.m. y la concentración en Lima será en el Campo de Marte, en Jesús María, para luego dirigirse por otras calles del Centro de la capital.",1,28,0,0,0,0,0,1,0,0,0,1,0,0,0.197,ATMA_2020-05-27_03_54_34_s010.wav,2020-05-27_03_54_34,79.936,92.23,12.294
ATMA,Lectura 6,0,Mercedes Araoz renunció a la vicepresidencia de la República y pide elecciones generales,0,,0,0,0,0,0,0,0,0,0,0,0,0,0.236,ATMA_2020-05-27_03_55_03_s000.wav,2020-05-27_03_55_03,0.0,6.001,6.001
ATMA,Lectura 6,1,"“Espero que mi renuncia conduzca a la convocatoria de elecciones generales en el más breve plazo por el bien del país"", dijo en sus redes sociales.",3,"0,1,3",0,0,0,0,0,3,0,0,0,1,0,0,0.589,ATMA_2020-05-27_03_55_03_s001.wav,2020-05-27_03_55_03,6.001,17.652,11.651
ATMA,Lectura 6,2,"Un día después de haber asumido como presidenta encargada del Perú, Mercedes Araoz, a través de las redes sociales, anunció que renunció irrevocablemente al cargo de Vicepresidenta de la República.",1,5,0,0,0,0,0,1,0,0,0,0,0,0,0.18,ATMA_2020-05-27_03_55_03_s002.wav,2020-05-27_03_55_03,17.652,30.84,13.188
